"","data_ID","doi","location","scenario","time_frame","mean_historical_sst_30y_ensemble","percentile_90_historical_sst_30y_ensemble","percentile_10_historical_sst_30y_ensemble","mean_sst_20y_ensemble","percentile_90_mean_ensemble","percentile_10_mean_ensemble","mean_sst_20y_anomaly_ensemble","percentile_90_anomaly_ensemble","percentile_10_anomaly_ensemble"
"1858",159,"10.3354/ab00527","Orpheus Island, Great Barrier Reef","ssp585","2021_2040",27.9670142026762,28.5464648856057,27.4476330687709,28.8162281773524,29.5768114275932,28.0171393107861,0.84921397467626,1.11078236928076,0.602920128340764
"1859",159,"10.3354/ab00527","Orpheus Island, Great Barrier Reef","ssp585","2041_2060",27.9670142026762,28.5464648856057,27.4476330687709,29.496966673882,30.5196186149385,28.5442390268356,1.52995247120588,1.98389960167337,1.11778872117468
"1860",159,"10.3354/ab00527","Orpheus Island, Great Barrier Reef","ssp585","2081_2100",27.9670142026762,28.5464648856057,27.4476330687709,31.2114887922735,32.6439739939372,29.8595776890347,3.24447458959738,4.02381752582389,2.12728022013601
"1861",160,"10.3354/meps09309","Palmyra Atoll","ssp126","2021_2040",28.5177243580852,29.1704119532419,27.7676354346642,29.3166328363659,30.0519194169255,28.4600883925964,0.776613292351127,1.06591742984454,0.449743165949075
"1862",160,"10.3354/meps09309","Palmyra Atoll","ssp126","2041_2060",28.5177243580852,29.1704119532419,27.7676354346642,29.6181049073558,30.33945925258,28.7497742751769,1.078085363341,1.40435576827438,0.688500259029268
"1863",160,"10.3354/meps09309","Palmyra Atoll","ssp126","2081_2100",28.5177243580852,29.1704119532419,27.7676354346642,29.712517141611,30.3801074052089,28.9381827353613,1.17249759759617,1.66398269309771,0.819984262440302
"1864",160,"10.3354/meps09309","Palmyra Atoll","ssp245","2021_2040",28.5177243580852,29.1704119532419,27.7676354346642,29.2709786567726,29.8237047723534,28.4440226422112,0.758453757430096,1.03327211939143,0.505279968014717
"1865",160,"10.3354/meps09309","Palmyra Atoll","ssp245","2041_2060",28.5177243580852,29.1704119532419,27.7676354346642,29.7375252736803,30.4520954798844,28.9210723805056,1.22500037433772,1.66410193656794,0.883000860270128
"1866",160,"10.3354/meps09309","Palmyra Atoll","ssp245","2081_2100",28.5177243580852,29.1704119532419,27.7676354346642,30.422386570485,31.2488552296314,29.7011125978182,1.90986167114251,2.448799364545,1.42326701921948
"1867",160,"10.3354/meps09309","Palmyra Atoll","ssp370","2021_2040",28.5177243580852,29.1704119532419,27.7676354346642,29.3457055081881,29.9480788864186,28.4649467624248,0.742147015405569,1.05490405504573,0.501297994885303
"1868",160,"10.3354/meps09309","Palmyra Atoll","ssp370","2041_2060",28.5177243580852,29.1704119532419,27.7676354346642,29.9255121595862,30.5233174599563,29.014543156273,1.32195366680358,1.76579234386514,1.03124491566037
"1869",160,"10.3354/meps09309","Palmyra Atoll","ssp370","2081_2100",28.5177243580852,29.1704119532419,27.7676354346642,31.3396069004392,31.969839190772,30.5653695293239,2.73604840765663,3.61309908294811,2.09993209608417
"1870",160,"10.3354/meps09309","Palmyra Atoll","ssp585","2021_2040",28.5177243580852,29.1704119532419,27.7676354346642,29.338550567474,30.0870038130855,28.5438269662922,0.820826209388881,1.09041198863203,0.632183451679488
"1871",160,"10.3354/meps09309","Palmyra Atoll","ssp585","2041_2060",28.5177243580852,29.1704119532419,27.7676354346642,30.0801796725759,30.764953002372,29.3239781352886,1.56245531449073,2.03573441846282,1.09751080748686
