"","data_ID","doi","location","scenario","time_frame","mean_historical_ph_30y_ensemble","percentile_90_historical_ph_30y_ensemble","percentile_10_historical_ph_30y_ensemble","mean_ph_20y_ensemble","percentile_90_mean_ensemble","percentile_10_mean_ensemble","mean_ph_20y_anomaly_ensemble","percentile_90_anomaly_ensemble","percentile_10_anomaly_ensemble"
"1",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp126","2021_2040",8.09948641001576,8.11704561975267,8.08490872648027,8.03217074943311,8.04723700086276,8.01977401971817,-0.0673156605826482,-0.0626677003171707,-0.0704383333524063
"2",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp126","2041_2060",8.09948641001576,8.11704561975267,8.08490872648027,8.00570926178585,8.01901113788287,7.99440839091937,-0.0937771482299067,-0.0903039422300136,-0.0980344818698029
"3",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp126","2081_2100",8.09948641001576,8.11704561975267,8.08490872648027,8.01096268675544,8.02312966585159,8.00036129156748,-0.0885237232603203,-0.083460326989492,-0.0939159539010781
"4",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp245","2021_2040",8.09948641001576,8.11704561975267,8.08490872648027,8.02800302090067,8.04397928317388,8.01621933579445,-0.0714833891150921,-0.0686893906858224,-0.0737425307432797
"5",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp245","2041_2060",8.09948641001576,8.11704561975267,8.08490872648027,7.97728372938705,7.98983941078186,7.96540491382281,-0.122202680628709,-0.116792964273029,-0.125876800881492
"6",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp245","2081_2100",8.09948641001576,8.11704561975267,8.08490872648027,7.91118016604221,7.92042458256086,7.90182048479716,-0.188306243973549,-0.181651473707624,-0.196621037191814
"7",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp370","2021_2040",8.09948641001576,8.11704561975267,8.08490872648027,8.02202630639076,8.03823075294495,8.00939573248227,-0.0774601036249985,-0.0755129939979984,-0.0811164961920845
"8",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp370","2041_2060",8.09948641001576,8.11704561975267,8.08490872648027,7.95347531925548,7.96538734038671,7.94222105940183,-0.146011090760279,-0.140646883514193,-0.151409143871731
"9",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp370","2081_2100",8.09948641001576,8.11704561975267,8.08490872648027,7.80462404110215,7.81728841265043,7.79622225960096,-0.294862368913612,-0.287354791826672,-0.306021655268139
"10",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp585","2021_2040",8.09948641001576,8.11704561975267,8.08490872648027,8.02134543530869,8.03735537926356,8.00952207843463,-0.0781409747070734,-0.0752407259411267,-0.0802493400043911
"11",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp585","2041_2060",8.09948641001576,8.11704561975267,8.08490872648027,7.93794811675043,7.95084074735641,7.92763369282087,-0.161538293265333,-0.156990294324028,-0.166204872396257
"12",1,"10.1002/ece3.10099-LOC-A","Bourake, New Caledonia","ssp585","2081_2100",8.09948641001576,8.11704561975267,8.08490872648027,7.71184967340845,7.72476830085119,7.70095518827438,-0.387636736607311,-0.378226832548777,-0.399380984571245
"13",2,"10.1002/ece3.10099-LOC-B","Bourake, New Caledonia","ssp126","2021_2040",8.09948641001576,8.11704561975267,8.08490872648027,8.03217074943311,8.04723700086276,8.01977401971817,-0.0673156605826482,-0.0626677003171707,-0.0704383333524063
"14",2,"10.1002/ece3.10099-LOC-B","Bourake, New Caledonia","ssp126","2041_2060",8.09948641001576,8.11704561975267,8.08490872648027,8.00570926178585,8.01901113788287,7.99440839091937,-0.0937771482299067,-0.0903039422300136,-0.0980344818698029
"15",2,"10.1002/ece3.10099-LOC-B","Bourake, New Caledonia","ssp126","2081_2100",8.09948641001576,8.11704561975267,8.08490872648027,8.01096268675544,8.02312966585159,8.00036129156748,-0.0885237232603203,-0.083460326989492,-0.0939159539010781
"16",2,"10.1002/ece3.10099-LOC-B","Bourake, New Caledonia","ssp245","2021_2040",8.09948641001576,8.11704561975267,8.08490872648027,8.02800302090067,8.04397928317388,8.01621933579445,-0.0714833891150921,-0.0686893906858224,-0.0737425307432797
"17",2,"10.1002/ece3.10099-LOC-B","Bourake, New Caledonia","ssp245","2041_2060",8.09948641001576,8.11704561975267,8.08490872648027,7.97728372938705,7.98983941078186,7.96540491382281,-0.122202680628709,-0.116792964273029,-0.125876800881492
"18",2,"10.1002/ece3.10099-LOC-B","Bourake, New Caledonia","ssp245","2081_2100",8.09948641001576,8.11704561975267,8.08490872648027,7.91118016604221,7.92042458256086,7.90182048479716,-0.188306243973549,-0.181651473707624,-0.196621037191814
"19",2,"10.1002/ece3.10099-LOC-B","Bourake, New Caledonia","ssp370","2021_2040",8.09948641001576,8.11704561975267,8.08490872648027,8.02202630639076,8.03823075294495,8.00939573248227,-0.0774601036249985,-0.0755129939979984,-0.0811164961920845
"20",2,"10.1002/ece3.10099-LOC-B","Bourake, New Caledonia","ssp370","2041_2060",8.09948641001576,8.11704561975267,8.08490872648027,7.95347531925548,7.96538734038671,7.94222105940183,-0.146011090760279,-0.140646883514193,-0.151409143871731
"21",2,"10.1002/ece3.10099-LOC-B","Bourake, New Caledonia","ssp370","2081_2100",8.09948641001576,8.11704561975267,8.08490872648027,7.80462404110215,7.81728841265043,7.79622225960096,-0.294862368913612,-0.287354791826672,-0.306021655268139
