"","data_ID","reefid","scenario","time_frame","mean_historical_sst_30y_ensemble","percentile_90_historical_sst_30y_ensemble","percentile_10_historical_sst_30y_ensemble","mean_sst_20y_ensemble","percentile_90_mean_ensemble","percentile_10_mean_ensemble","mean_sst_20y_anomaly_ensemble","percentile_90_anomaly_ensemble","percentile_10_anomaly_ensemble"
"1",1,"75","ssp126","2021_2040",28.2941503046008,28.9270889146604,27.601292514272,28.9533871677081,29.5945073212213,28.2431679440384,0.636786587993903,0.831056917665309,0.418854635508638
"2",1,"75","ssp126","2041_2060",28.2941503046008,28.9270889146604,27.601292514272,29.194064390904,29.8759466801897,28.4136950099991,0.877463811189764,1.16116903193465,0.58025459841053
"3",1,"75","ssp126","2081_2100",28.2941503046008,28.9270889146604,27.601292514272,29.2332073829006,29.8607676959626,28.391169660492,0.916606803186349,1.32715863995512,0.538469909239141
"4",1,"75","ssp245","2021_2040",28.2941503046008,28.9270889146604,27.601292514272,28.9515847945705,29.5817618247158,28.2657388454179,0.649948183224491,0.890997611076616,0.489560261039746
"5",1,"75","ssp245","2041_2060",28.2941503046008,28.9270889146604,27.601292514272,29.356937320542,29.9929893339924,28.5861896308177,1.05530070919606,1.332718995169,0.726944535761359
"6",1,"75","ssp245","2081_2100",28.2941503046008,28.9270889146604,27.601292514272,29.8704804527155,30.4722011849089,29.0517708778381,1.56884384136953,2.05084573305036,1.11984503208842
"7",1,"75","ssp370","2021_2040",28.2941503046008,28.9270889146604,27.601292514272,28.9988982976519,29.5118236758308,28.1685802991352,0.625002472655909,0.867821085820037,0.460977321015674
"8",1,"75","ssp370","2041_2060",28.2941503046008,28.9270889146604,27.601292514272,29.5385235058746,30.1517717952467,28.6448933137806,1.16462768087862,1.48120318478863,0.872270356085647
"9",1,"75","ssp370","2081_2100",28.2941503046008,28.9270889146604,27.601292514272,30.7517597543425,31.3411508685525,29.908975691218,2.37786392934648,2.97770676038127,1.76463474517639
"10",1,"75","ssp585","2021_2040",28.2941503046008,28.9270889146604,27.601292514272,29.0275755149886,29.7497084515467,28.277562430043,0.733425210387822,0.903999574983504,0.578281298693955
"11",1,"75","ssp585","2041_2060",28.2941503046008,28.9270889146604,27.601292514272,29.6389637339426,30.335621302186,28.7582902149997,1.34481342934185,1.78333905050489,0.897418435257864
"12",1,"75","ssp585","2081_2100",28.2941503046008,28.9270889146604,27.601292514272,31.244110090318,31.9981922425759,30.4109174824022,2.94995978571724,3.72738520546198,2.09864421743454
"13",2,"81","ssp126","2021_2040",24.2858365962096,24.9919136505902,23.4148592020322,25.1605137863236,25.7882800206377,24.5259996627961,0.872281067368622,1.21306808510237,0.542917775288586
"14",2,"81","ssp126","2041_2060",24.2858365962096,24.9919136505902,23.4148592020322,25.4187390661989,26.0924141925607,24.8985747506428,1.13050634724387,1.58091824977197,0.685562078862401
"15",2,"81","ssp126","2081_2100",24.2858365962096,24.9919136505902,23.4148592020322,25.5595752320087,26.1232733766167,24.9128563143696,1.27134251305373,1.78397247912556,0.712073332698657
"16",2,"81","ssp245","2021_2040",24.2858365962096,24.9919136505902,23.4148592020322,25.1780540115765,25.702873462677,24.499314534552,0.885248434508468,1.25851638634116,0.455967389923477
"17",2,"81","ssp245","2041_2060",24.2858365962096,24.9919136505902,23.4148592020322,25.641963266901,26.1009082537089,25.0674876993636,1.34915768983297,1.80573675189501,0.931143406086449
"18",2,"81","ssp245","2081_2100",24.2858365962096,24.9919136505902,23.4148592020322,26.3303878962044,26.7986895967956,25.5976315184154,2.03758231913641,2.67257829773867,1.40350086230248
"19",2,"81","ssp370","2021_2040",24.2858365962096,24.9919136505902,23.4148592020322,25.1064414650112,25.7476139798622,24.4094694424873,0.792509102561866,1.23651515900299,0.560545492774423
"20",2,"81","ssp370","2041_2060",24.2858365962096,24.9919136505902,23.4148592020322,25.7344385934131,26.2793865000581,25.0238837317104,1.42050623096374,1.89803030729947,1.05508398301291
"21",2,"81","ssp370","2081_2100",24.2858365962096,24.9919136505902,23.4148592020322,27.1286443952098,27.9719310305405,26.3921648822998,2.81471203276046,3.52573924635099,2.20001750545415
"22",2,"81","ssp585","2021_2040",24.2858365962096,24.9919136505902,23.4148592020322,25.27422872996,26.0297526490296,24.7432492946869,0.988392133750378,1.40097446970343,0.606015906547732
"23",2,"81","ssp585","2041_2060",24.2858365962096,24.9919136505902,23.4148592020322,25.9665346221404,26.5628512555468,25.3096876845888,1.68069802593076,2.19012622770544,1.14602562836868
"24",2,"81","ssp585","2081_2100",24.2858365962096,24.9919136505902,23.4148592020322,27.9791972089406,28.7624298076951,26.9778214847761,3.69336061273091,4.53853709587384,2.68701333060408
"25",3,"90","ssp126","2021_2040",28.5228727630408,29.1758388667776,27.7757586031393,29.3208457464818,30.0519194169255,28.461509693988,0.776281787761609,1.06591742984454,0.451873144353164
"26",3,"90","ssp126","2041_2060",28.5228727630408,29.1758388667776,27.7757586031393,29.6219039675938,30.33945925258,28.7503882617738,1.07734000887362,1.40370970242112,0.688895150294071
"27",3,"90","ssp126","2081_2100",28.5228727630408,29.1758388667776,27.7757586031393,29.7166205593229,30.3811647133794,28.9385398143375,1.17205660060269,1.66398269309771,0.819758802292009
"28",3,"90","ssp245","2021_2040",28.5228727630408,29.1758388667776,27.7757586031393,29.274575940166,29.8237047723534,28.4440226422112,0.757460920706567,1.03327211939143,0.50452691474883
"29",3,"90","ssp245","2041_2060",28.5228727630408,29.1758388667776,27.7757586031393,29.7418273640835,30.4520954798844,28.9221743754849,1.22471234462414,1.66410193656794,0.883139354717159
