"","data_ID","reefid","scenario","time_frame","mean_historical_ph_30y_ensemble","percentile_90_historical_ph_30y_ensemble","percentile_10_historical_ph_30y_ensemble","mean_ph_20y_ensemble","percentile_90_mean_ensemble","percentile_10_mean_ensemble","mean_ph_20y_anomaly_ensemble","percentile_90_anomaly_ensemble","percentile_10_anomaly_ensemble"
"1",1,"75","ssp126","2021_2040",8.07443998558353,8.09718356132507,8.05752688248952,8.01266621802792,8.03233696222305,7.99875957369804,-0.0617737675556033,-0.0587673087914791,-0.0648465991020206
"2",1,"75","ssp126","2041_2060",8.07443998558353,8.09718356132507,8.05752688248952,7.98861596783002,8.00669365127881,7.97581403454145,-0.0858240177535047,-0.0826697342925602,-0.0898586518234676
"3",1,"75","ssp126","2081_2100",8.07443998558353,8.09718356132507,8.05752688248952,7.99386802857572,8.01197117964427,7.98138781189919,-0.0805719570078032,-0.0759979420238075,-0.0852123816808064
"4",1,"75","ssp245","2021_2040",8.07443998558353,8.09718356132507,8.05752688248952,8.00934758529519,8.02837880651156,7.99427077770233,-0.0650924002883412,-0.0629713224040138,-0.0677924785349102
"5",1,"75","ssp245","2041_2060",8.07443998558353,8.09718356132507,8.05752688248952,7.96322081937934,7.981288899978,7.9496309141318,-0.111219166204183,-0.107351497146817,-0.115894661347071
"6",1,"75","ssp245","2081_2100",8.07443998558353,8.09718356132507,8.05752688248952,7.90321122931712,7.9172159910202,7.89291072090467,-0.171228756266411,-0.164616161584854,-0.178374144103793
"7",1,"75","ssp370","2021_2040",8.07443998558353,8.09718356132507,8.05752688248952,8.00477654681061,8.02503356734912,7.98964660167694,-0.0696634387729143,-0.0672925763660004,-0.0717381788624643
"8",1,"75","ssp370","2041_2060",8.07443998558353,8.09718356132507,8.05752688248952,7.94112019827872,7.95983788569768,7.9276797691981,-0.133319787304811,-0.129298296901914,-0.136785536342196
"9",1,"75","ssp370","2081_2100",8.07443998558353,8.09718356132507,8.05752688248952,7.80202747890444,7.81601951122284,7.79099133809408,-0.272412506679092,-0.264577390750249,-0.282044491502973
"10",1,"75","ssp585","2021_2040",8.07443998558353,8.09718356132507,8.05752688248952,8.00333231073437,8.0222396671772,7.98689711888631,-0.0711076748491538,-0.0681651406817965,-0.0729552719328126
"11",1,"75","ssp585","2041_2060",8.07443998558353,8.09718356132507,8.05752688248952,7.92725016366352,7.94404977758725,7.91673054496447,-0.14718982192001,-0.142712031470405,-0.153049279583825
"12",1,"75","ssp585","2081_2100",8.07443998558353,8.09718356132507,8.05752688248952,7.71299794370478,7.72639555136363,7.70191037654877,-0.361442041878749,-0.352143061823315,-0.374967867136001
"13",2,"81","ssp126","2021_2040",8.09401630632805,8.10314615302616,8.08546619680193,8.02437952594324,8.03576499621073,8.01303978363673,-0.0696367803848148,-0.0661008901066253,-0.0737788213623887
"14",2,"81","ssp126","2041_2060",8.09401630632805,8.10314615302616,8.08546619680193,7.99862863656246,8.00818071166674,7.98628227114677,-0.0953876697655881,-0.090913701057433,-0.100536333852344
"15",2,"81","ssp126","2081_2100",8.09401630632805,8.10314615302616,8.08546619680193,8.00459716952208,8.01511790951093,7.99311404625575,-0.0894191368059679,-0.0863536695639286,-0.0937045587433714
"16",2,"81","ssp245","2021_2040",8.09401630632805,8.10314615302616,8.08546619680193,8.02011860283938,8.03074099421501,8.00788018306096,-0.0738977034886678,-0.0703886171181995,-0.0786175860299014
"17",2,"81","ssp245","2041_2060",8.09401630632805,8.10314615302616,8.08546619680193,7.97072237477158,7.98202846248945,7.95727153221766,-0.123293931556471,-0.118384585777918,-0.129547072781457
"18",2,"81","ssp245","2081_2100",8.09401630632805,8.10314615302616,8.08546619680193,7.90793393543272,7.91873852014542,7.8925817946593,-0.186082370895328,-0.181582278013229,-0.194236810339822
"19",2,"81","ssp370","2021_2040",8.09401630632805,8.10314615302616,8.08546619680193,8.0143789202878,8.0251174112161,8.00270118713379,-0.0796373860402539,-0.0756560451454593,-0.0835675073994526
"20",2,"81","ssp370","2041_2060",8.09401630632805,8.10314615302616,8.08546619680193,7.9478813496503,7.95864065686862,7.93430301745733,-0.146134956677755,-0.141757310099073,-0.152515587541792
"21",2,"81","ssp370","2081_2100",8.09401630632805,8.10314615302616,8.08546619680193,7.80324911095879,7.81559937993685,7.78652861316999,-0.290767195369258,-0.283654981189304,-0.30028999182913
"22",2,"81","ssp585","2021_2040",8.09401630632805,8.10314615302616,8.08546619680193,8.01337180498875,8.02450861533483,8.00120842456818,-0.0806445013393056,-0.0759977956612907,-0.0866704596413506
"23",2,"81","ssp585","2041_2060",8.09401630632805,8.10314615302616,8.08546619680193,7.93100176110412,7.94158662954966,7.91659033298492,-0.16301454522393,-0.157106000847287,-0.170228272014194
"24",2,"81","ssp585","2081_2100",8.09401630632805,8.10314615302616,8.08546619680193,7.71090133840388,7.72444055875142,7.69421307444572,-0.383114967924176,-0.370375431908502,-0.392605530553394
"25",3,"90","ssp126","2021_2040",8.03646694253189,8.05287078221639,8.01549028025733,7.98254577445261,7.99946576754252,7.96239760716756,-0.05392116807928,-0.0526033249166273,-0.055390257305568
"26",3,"90","ssp126","2041_2060",8.03646694253189,8.05287078221639,8.01549028025733,7.95783755580584,7.97439620097478,7.93851735989253,-0.0786293867260518,-0.0760634819666546,-0.0802864935663017
"27",3,"90","ssp126","2081_2100",8.03646694253189,8.05287078221639,8.01549028025733,7.95770334908457,7.97356596589088,7.93934897184372,-0.0787635934473289,-0.073367494344712,-0.0818109108342062
"28",3,"90","ssp245","2021_2040",8.03646694253189,8.05287078221639,8.01549028025733,7.97940484213107,7.99558266599973,7.96049138108889,-0.0570621004008285,-0.05444395740827,-0.0597683641645643
"29",3,"90","ssp245","2041_2060",8.03646694253189,8.05287078221639,8.01549028025733,7.93640708489851,7.95289291938146,7.92007017334302,-0.100059857633379,-0.0957035548157155,-0.104977441496318
"30",3,"90","ssp245","2081_2100",8.03646694253189,8.05287078221639,8.01549028025733,7.87745929685506,7.89302098155022,7.86228620608648,-0.159007645676834,-0.153204074170855,-0.161661712990867
"31",3,"90","ssp370","2021_2040",8.03646694253189,8.05287078221639,8.01549028025733,7.97568074085496,7.9930909494559,7.95655999978383,-0.060786201676937,-0.0585406184196477,-0.0640842782126523
"32",3,"90","ssp370","2041_2060",8.03646694253189,8.05287078221639,8.01549028025733,7.91781691421162,7.93483005960782,7.90187426805496,-0.118650028320274,-0.114047822025086,-0.123566061920589
"33",3,"90","ssp370","2081_2100",8.03646694253189,8.05287078221639,8.01549028025733,7.78812825065671,7.80102627277374,7.77630290190379,-0.248338691875188,-0.237422403362063,-0.255054069227642
"34",3,"90","ssp585","2021_2040",8.03646694253189,8.05287078221639,8.01549028025733,7.97489487799731,7.9905589401722,7.9565779487292,-0.0615720645345824,-0.0583365049627087,-0.0646484997537398
"35",3,"90","ssp585","2041_2060",8.03646694253189,8.05287078221639,8.01549028025733,7.9066281977928,7.92322563330332,7.89085761507352,-0.129838744739089,-0.124632665183809,-0.134736878342098
"36",3,"90","ssp585","2081_2100",8.03646694253189,8.05287078221639,8.01549028025733,7.70491830399542,7.71583493351936,7.69406990806262,-0.331548638536473,-0.316524106926388,-0.343036121792263
"37",4,"121","ssp126","2021_2040",8.08571292258272,8.09634501404232,8.06771279176076,8.01680931196068,8.02832704782486,8.00324819485346,-0.0689036106220405,-0.0641627311706543,-0.0776026381386643
"38",4,"121","ssp126","2041_2060",8.08571292258272,8.09634501404232,8.06771279176076,7.99139120632952,8.00270385742187,7.97724488973618,-0.0943217162532039,-0.0894341687361404,-0.104338949256473
"39",4,"121","ssp126","2081_2100",8.08571292258272,8.09634501404232,8.06771279176076,7.99818148938092,8.01094496647517,7.98236299157143,-0.0875314332017996,-0.0825456466939718,-0.0985068374209925
"40",4,"121","ssp245","2021_2040",8.08571292258272,8.09634501404232,8.06771279176076,8.01277447324811,8.02451855738958,7.99790839552879,-0.0729384493346167,-0.0686101045873437,-0.0816661192311177
"41",4,"121","ssp245","2041_2060",8.08571292258272,8.09634501404232,8.06771279176076,7.96402548876676,7.97692001064618,7.94977264006933,-0.121687433815966,-0.116887213786444,-0.132122394773694
"42",4,"121","ssp245","2081_2100",8.08571292258272,8.09634501404232,8.06771279176076,7.9016928551775,7.9158519188563,7.89045018355052,-0.184020067405219,-0.177262608210246,-0.199722184075249
"43",4,"121","ssp370","2021_2040",8.08571292258272,8.09634501404232,8.06771279176076,8.00754672722383,8.01933808724085,7.99299154678981,-0.0781661953588932,-0.0739246308803558,-0.0833938989374374
"44",4,"121","ssp370","2041_2060",8.08571292258272,8.09634501404232,8.06771279176076,7.94095385074615,7.95429933269819,7.92780392964681,-0.144759071836568,-0.139908862113952,-0.155576323800616
"45",4,"121","ssp370","2081_2100",8.08571292258272,8.09634501404232,8.06771279176076,7.79759556199565,7.81225147247314,7.78762116034826,-0.288117360587072,-0.279777314265568,-0.304036562972598
"46",4,"121","ssp585","2021_2040",8.08571292258272,8.09634501404232,8.06771279176076,8.00579471154646,8.01827110449473,7.99250098864237,-0.0799182110362587,-0.0752118031183873,-0.0883426103327007
"47",4,"121","ssp585","2041_2060",8.08571292258272,8.09634501404232,8.06771279176076,7.9256629282778,7.93732274572055,7.91413055260976,-0.160049994304927,-0.153582239151,-0.17222638660007
"48",4,"121","ssp585","2081_2100",8.08571292258272,8.09634501404232,8.06771279176076,7.70656285430446,7.72074794967969,7.69437125126521,-0.379150068278265,-0.367427971627977,-0.39567952884568
"49",5,"122","ssp126","2021_2040",8.09029464649432,8.10001645618015,8.07715903917948,8.02081186247595,8.03124149243037,8.01199209094048,-0.0694827840183721,-0.06461097465621,-0.0774759140279553
"50",5,"122","ssp126","2041_2060",8.09029464649432,8.10001645618015,8.07715903917948,7.99542859955267,8.0056288878123,7.98587261637052,-0.0948660469416418,-0.0901857720481019,-0.103895523813035
"51",5,"122","ssp126","2081_2100",8.09029464649432,8.10001645618015,8.07715903917948,8.00191095652002,8.01384143233299,7.99146242340406,-0.0883836899742938,-0.0840607093440155,-0.0984918720192374
"52",5,"122","ssp245","2021_2040",8.09029464649432,8.10001645618015,8.07715903917948,8.01703533512173,8.02826281587283,8.00681109428406,-0.0732593113725835,-0.0686893595589542,-0.0813142703639134
"53",5,"122","ssp245","2041_2060",8.09029464649432,8.10001645618015,8.07715903917948,7.96787511038058,7.98019582629204,7.9585261841615,-0.122419536113739,-0.117276663250393,-0.132281755076514
"54",5,"122","ssp245","2081_2100",8.09029464649432,8.10001645618015,8.07715903917948,7.90509811910716,7.91871430675189,7.89437114596367,-0.185196527387157,-0.178812744220099,-0.199684541092978
"55",5,"122","ssp370","2021_2040",8.09029464649432,8.10001645618015,8.07715903917948,8.01180275714759,8.02230889797211,8.0016113003095,-0.0784918893467296,-0.0743313716517555,-0.0836318042543205
"56",5,"122","ssp370","2041_2060",8.09029464649432,8.10001645618015,8.07715903917948,7.94491879271738,7.95714458823204,7.93648056983948,-0.145375853776932,-0.140678469340007,-0.155343761709001
"57",5,"122","ssp370","2081_2100",8.09029464649432,8.10001645618015,8.07715903917948,7.80068759809841,7.81444762150447,7.78974930445353,-0.289607048395908,-0.282354998588563,-0.304306382603115
"58",5,"122","ssp585","2021_2040",8.09029464649432,8.10001645618015,8.07715903917948,8.01038799845811,8.02119776407878,8.00123354196548,-0.0799066480362056,-0.0756871554586631,-0.0884911186165276
"59",5,"122","ssp585","2041_2060",8.09029464649432,8.10001645618015,8.07715903917948,7.92926257794554,7.9398788134257,7.91978060603142,-0.16103206854878,-0.154937305053076,-0.172531639205085
"60",5,"122","ssp585","2081_2100",8.09029464649432,8.10001645618015,8.07715903917948,7.70902092456818,7.72243998646736,7.69748616019885,-0.38127372192614,-0.369386884901259,-0.3965695268578
"61",6,"144","ssp126","2021_2040",8.08083142656269,8.09919140603807,8.06448615392049,8.01771728504788,8.03520375688871,7.99844003915787,-0.0631141415148071,-0.0610330224037181,-0.0660461147626235
"62",6,"144","ssp126","2041_2060",8.08083142656269,8.09919140603807,8.06448615392049,7.99439850630182,8.01050562659899,7.98007720311483,-0.0864329202608629,-0.0837280273437511,-0.091024494171144
"63",6,"144","ssp126","2081_2100",8.08083142656269,8.09919140603807,8.06448615392049,7.99970366539377,8.01533825993538,7.98359216849009,-0.0811277611689135,-0.0778748512268077,-0.0854605714480101
"64",6,"144","ssp245","2021_2040",8.08083142656269,8.09919140603807,8.06448615392049,8.013479519071,8.0303365945816,7.99269807934761,-0.067351907491684,-0.0639965567323895,-0.0713114963637462
